Name,Tag,Town Hall,Wars Participated,Number of Attacks,Attack Percentage,Total Stars,Avg. Stars,True Stars,Avg. True Stars,Total Dest,Avg Dest,Three Stars,Two Stars,One Stars,Zero Stars,Missed,Total Defenses,Defensive Stars,Avg. Defensive Stars,Total Defensive Destruction,Avg Defensive Destruction,Lower TH Hits (Dips),Upper TH Hits (Reaches),Avg. Target Position,Avg. Target Distance,cwl_month,cwl_year
MR.MECALIENTO,#2CYP02V9P,18.0,7.0,7.0,100,21.0,3,21.0,3,700.0,100,7.0,0.0,0.0,0.0,0.0,7.0,15.0,"2,14",597.0,"85,29",4.0,0.0,"24,29","5,57",Febrero,2026
Adri,#Q0L92RGR9,18.0,7.0,7.0,100,21.0,3,21.0,3,700.0,100,7.0,0.0,0.0,0.0,0.0,7.0,14.0,2,607.0,"86,71",5.0,0.0,27,"-0,86",Febrero,2026
NENITO,#LV8V008LJ,18.0,7.0,7.0,100,20.0,"2,86",20.0,"2,86",698.0,"99,71",6.0,1.0,0.0,0.0,0.0,7.0,16.0,"2,29",545.0,"77,86",3.0,0.0,"20,43","2,29",Febrero,2026
JTeva97,#2YPVRP9QL,18.0,7.0,7.0,100,20.0,"2,86",20.0,"2,86",696.0,"99,43",6.0,1.0,0.0,0.0,0.0,7.0,15.0,"2,14",608.0,"86,86",2.0,0.0,"18,86","-3,29",Febrero,2026
BOQ_Superdeivi,#J99URGYL,18.0,7.0,7.0,100,19.0,"2,71",19.0,"2,71",682.0,"97,43",5.0,2.0,0.0,0.0,0.0,7.0,15.0,"2,14",583.0,"83,29",0.0,0.0,"6,43","1,43",Febrero,2026
BOQ.Palomilla.,#88UGG8P0,18.0,7.0,7.0,100,19.0,"2,71",19.0,"2,71",678.0,"96,86",5.0,2.0,0.0,0.0,0.0,7.0,16.0,"2,29",622.0,"88,86",5.0,0.0,"25,14","1,71",Febrero,2026
MAX POWER,#20JCPP8P,18.0,7.0,7.0,100,19.0,"2,71",17.0,"2,43",675.0,"96,43",5.0,2.0,0.0,0.0,0.0,6.0,15.0,"2,50",561.0,"93,50",3.0,0.0,"20,57","8,71",Febrero,2026
THOR,#CPPC00GR,18.0,7.0,7.0,100,19.0,"2,71",19.0,"2,71",668.0,"95,43",5.0,2.0,0.0,0.0,0.0,7.0,17.0,"2,43",610.0,"87,14",6.0,0.0,25,"0,29",Febrero,2026
Juan,#22RYUJLQP,18.0,7.0,7.0,100,18.0,"2,57",18.0,"2,57",675.0,"96,43",4.0,3.0,0.0,0.0,0.0,7.0,15.0,"2,14",577.0,"82,43",2.0,0.0,"14,71","-11,86",Febrero,2026
KingClash,#YRYUPQ08,18.0,7.0,7.0,100,18.0,"2,57",18.0,"2,57",650.0,"92,86",4.0,3.0,0.0,0.0,0.0,7.0,12.0,"1,71",564.0,"80,57",5.0,0.0,"24,14","-2,29",Febrero,2026
